Nom,SNR,fe_Voice,audio_Voice,fe_Noise,audio_Noise,fe_Mix,audio_Mix
0000,-1.0,8000,[0.01308505 0.02389444 0.00910264 ... 0.03072142 0.0261701  0.02673901],8000,"[-0.14488831  0.0482961   0.36705038 ... -1.2170618  -1.4971792
 -1.5647938 ]",8000,8000
0001,4.0,8000,"[-0.74533117 -0.62026197 -0.45604503 ... -0.22776833 -0.22471786
 -0.17387673]",8000,"[-1.0341942  -0.8391327  -0.80232865 ...  0.85385436  1.2697403
  1.4537606 ]",8000,8000
0002,2.0,8000,"[-0.00036123  0.00361229  0.00361229 ... -0.03359427  0.0491271
 -0.04551481]",8000,"[ 0.85378706  1.0203797  -0.04164815 ...  0.35400924 -0.02082407
 -0.20824073]",8000,8000
0003,-4.0,8000,"[-2.067744   -4.0079823  -4.3019233  ... -0.0084628  -0.01071955
 -0.01354048]",8000,"[-0.19572121 -0.59582394 -0.9803381  ... -0.08487026 -0.20091733
 -0.15242007]",8000,8000
0004,-4.0,8000,"[ 0.00916339 -0.11563326  0.05759845 ...  1.0236815   0.76885206
  0.52885854]",8000,"[ 0.1828105   0.12319838 -0.00397414 ... -1.4008849  -1.011419
 -0.63586265]",8000,8000
0005,2.0,8000,"[ 0.00125832 -0.00545273 -0.00545273 ...  0.7856125   1.0452464
  1.1958257 ]",8000,"[ 0.0814549   0.3095286   0.39098346 ... -1.612807   -1.5639338
 -0.45614743]",8000,8000
0006,-2.0,8000,"[ 1.2234072e-02  6.6130125e-04 -1.3226025e-03 ...  2.2064314e+00
  2.1244302e+00  1.9835730e+00]",8000,"[-1.1006794  -1.1451513  -1.1340333  ... -0.56701666 -0.3668931
 -0.13341568]",8000,8000
0007,-2.0,8000,"[ 0.3770754   0.8619951   0.40251756 ... -2.6061113  -2.2821987
 -1.7163955 ]",8000,"[-1.0232571  -2.0106106  -2.7526214  ... -0.903578   -0.8736582
 -0.40092528]",8000,8000
0008,0.0,8000,[-1.9726982 -2.1735592 -1.6964653 ...  1.2288421  0.7829233  0.6250758],8000,"[ 0.04102454 -0.1312785  -0.19691777 ...  0.43486005  0.4758846
  0.6317779 ]",8000,8000
0009,4.0,8000,[0.01582853 0.01624507 0.01707815 ... 0.00666464 0.0062481  0.00374886],8000,"[ 1.340022    1.2127439   1.0422393  ...  0.3818342   0.09846039
 -0.11046775]",8000,8000
0010,4.0,8000,"[ 3.0205812   3.1110108   2.6502316  ...  0.43151158 -0.20299806
 -0.24952626]",8000,"[-1.4730029  -1.571203   -1.7535748  ...  0.68038696  0.74351573
  0.7785873 ]",8000,8000
0011,-3.0,8000,"[-0.02809529 -0.02027128 -0.0224051  ...  1.2162769   1.0740224
  1.0736668 ]",8000,[0.47540805 0.39068186 0.48639104 ... 0.5475822  0.4095099  0.447166  ],8000,8000
0012,1.0,8000,"[ 0.01072912  0.01564664  0.01609368 ...  0.1412668   0.04157535
 -0.02637576]",8000,"[-0.94616807 -0.9837144  -0.82601976 ... -1.5243819  -1.4192522
 -1.2690667 ]",8000,8000
0013,-4.0,8000,[1.8780173  1.8816842  1.7664363  ... 0.02252573 0.01938261 0.02776427],8000,"[-0.21326664  0.42653328  0.38591105 ...  1.5030221   1.1374221
  0.4112999 ]",8000,8000
0014,0.0,8000,"[-0.02794805 -0.01419583  0.00931602 ...  0.21338113  0.14417644
 -0.07142279]",8000,[1.479593  0.9569106 0.7397965 ... 1.391139  1.479593  1.5921708],8000,8000
