,train_loss,valid_loss
0,33990.42495,34162.5825
1,33339.73779375,33569.655625
2,33060.56249375,34043.03
3,32895.1782,33505.4275
4,32785.403875,33550.591875
5,32681.9931875,33206.22125
6,32541.85990625,33399.5175
7,32510.86676875,33056.794375
8,32437.10408125,33510.77
9,32393.71236875,32881.201875
10,32360.5844625,33003.14
11,32321.7354125,33086.95
12,32292.7322375,32826.336875
13,32244.4728625,32875.769375
14,32272.1551875,32993.896875
15,32209.68476875,32492.99875
16,32174.09306875,33309.216875
17,32155.64331875,33512.155625
18,32137.16601875,32634.925
19,32114.92538125,32453.6675
20,32104.1057125,32624.236875
